,Volume,ocPercentAMD,ocPercentINT,ocPercentSP,hlPercentAMD,hlPercentINT,hlPercentSP,Days to Earnings,tyPercentAMD,tyPercentINT,tyPercentSP,Volume,What Day,Labels,Days Since Election
0,7843200,,,,,,,63,,,,57710200,0,1,1154
1,6290200,3.5490605427974886,4.4848927215175305,-0.9549109409562662,6.170212765957439,4.954954954954949,2.755917532007812,64,-2.4193548387096753,-1.7959770114942541,0.0,51019600,1,0,1155
2,8204600,-3.3057851239669422,-2.9261155815654694,-3.834466823710192,6.209850107066384,6.8389057750759985,4.135442545734747,65,-0.6410256410256387,0.07535795026374359,0.0,52389000,2,1,1156
3,11489400,3.2258064516129004,0.7530120481927804,0.19221827009932024,7.589285714285721,6.677018633540377,2.5833259251062612,66,3.3333333333333437,-2.2421524663677084,0.0,55171200,3,1,1157
4,8543400,3.2258064516129004,-3.669724770642202,0.09556782380377715,4.918032786885251,6.634692246203033,1.4223150880939395,67,-3.7109375,-1.5873015873015928,0.0,41096400,4,1,1158
5,12916400,5.476673427991896,5.8064516129032295,2.7090399606277016,6.707317073170738,5.977382875605808,2.9084828326441547,70,3.076923076923066,4.57317073170731,0.0,53619800,0,1,1161
6,6679800,4.477611940298498,0.0,1.1189969492607643,6.367041198501866,3.714710252600306,1.5879632916751207,71,0.0,3.279883381924198,0.0,105481800,1,0,1162
7,8818600,-1.4285714285714235,1.270289343683828,-1.306251187808749,5.893186003683248,4.637168141592918,1.6898808756467654,72,-1.449275362318836,1.324041811846688,0.0,97326600,2,1,1163
8,7542200,6.617647058823528,0.4126547455295837,-0.4386371608555817,9.293680297397767,6.162464985994398,1.0875368219382286,73,1.379310344827589,1.5753424657534154,0.0,76104200,3,1,1164
9,15007800,2.7210884353741527,-1.7532029669588667,1.2169700820387375,7.4733096085409345,4.12876137158853,1.532550253098286,74,-1.655629139072845,8.167467398764593,0.0,184405200,4,1,1165
10,10871400,8.754208754208758,4.631979695431476,1.067129947557377,9.628378378378377,8.524173027989823,1.6086270853803208,78,-0.9287925696594423,-2.6834435415403313,0.0,102100600,1,0,1169
11,8924400,-2.500000000000002,1.8227128031385487,-0.6832071007084828,6.623586429725359,5.486284289276799,0.9543150645893839,79,1.9230769230769162,-1.1015911872705009,0.0,45568000,2,0,1170
12,28847200,-1.4150943396226467,-0.9282178217821735,0.05222926949748352,10.789049919484706,2.252816020025028,0.8773476907413924,80,11.004784688995217,-0.31230480949406836,0.0,70002000,3,0,1171
13,11715000,-10.344827586206895,-4.135338345864659,-0.7095320990255005,18.75,5.631958087753763,1.888715034924382,81,0.3205128205128194,0.39215686274509665,0.0,55558200,4,0,1172
14,10269800,-3.194888178913735,2.018229166666674,-0.29123191248194846,8.304498269896188,2.7450980392156765,0.9433230221170819,84,-1.650165016501648,4.387365411614552,0.0,74832600,0,0,1175
15,10805800,-7.38255033557047,-3.3470894369228565,-2.7633593560598246,13.678373382624764,6.743002544529264,4.204463183130258,85,0.18115942028984477,0.5692599620493288,0.0,51382600,1,1,1176
16,7597800,15.732368896925863,2.2012578616352307,0.6064800485270139,17.391304347826097,4.490057729313657,1.8559744892363117,86,-5.937499999999996,-0.8000000000000007,0.0,49306200,2,0,1177
17,6167800,-1.661129568106312,-4.218362282878408,-0.4212720919293256,4.615384615384621,4.9935149156939085,0.8977506638359056,87,2.7027027027026973,2.9792746113989743,0.0,61482000,3,0,1178
18,6867200,-2.796052631578949,-1.2578616352201255,-0.39384278314827936,5.762711864406778,5.890052356020936,3.491637090654476,88,0.6768189509306355,-0.8917197452229297,0.0,53922800,4,0,1179
19,4288800,-5.210084033613449,-3.3419023136246784,-2.7456829438884944,9.818181818181815,6.1114842175957085,3.123441198236687,91,0.0,-0.3989361702127714,0.0,68453200,0,1,1182
20,5111200,2.127659574468077,5.67423230974633,2.521756715577772,5.263157894736836,6.6621803499327115,3.2841012418997284,92,1.388888888888884,-0.5685407454200875,0.0,48051400,1,1,1183
21,4076200,0.1712328767123239,3.113087674714099,1.0627818951052692,5.000000000000004,5.045278137128073,2.000299700307129,93,-0.6837606837606813,-0.4313000616142926,0.0,52080600,2,0,1184
22,9523800,-0.688468158347677,-0.9282178217821735,-0.01135572751382874,2.6362038664323295,3.260188087774285,1.2198159674797537,94,1.906412478336228,1.6239850093691333,0.0,56126000,3,1,1185
23,7109200,6.1224489795918435,2.458512599877083,1.124813788480794,8.43373493975903,3.8461538461538547,1.9492040593026339,95,0.0,0.179964007198552,0.0,55953800,4,0,1186
24,6056600,-1.1217948717948678,0.359281437125758,-0.04210446621404351,4.56026058631922,3.83693045563549,1.0755811820263528,98,0.0,0.17899761336515052,0.0,42810000,0,1,1189
25,8583800,7.131280388978922,2.858844550327566,-0.0091271931068726,8.360655737704924,3.8415366146458574,0.977837336662235,99,-0.7564296520423563,0.810654313839021,0.0,38026000,1,1,1190
26,7813600,0.9146341463414531,0.0,1.2273199125661272,7.177033492822971,1.909722222222232,1.2350422768286462,100,0.0,-0.631820792647908,0.0,38615200,2,1,1191
27,6373600,1.6616314199395799,-3.2369942196531776,-2.0815422275925477,4.629629629629628,4.186602870813405,2.3306077597601504,101,0.0,-0.2389486260453988,-0.0007090691626854273,43539200,3,1,1192
28,14933400,1.0401188707280795,3.113772455089814,0.3633920222470888,3.479576399394846,4.784978800726836,1.1141629088082583,102,0.588235294117645,-0.34843205574912606,0.0,37756000,4,1,1193
